"Time","values"
2023-12-20 07:53:00,0%
2023-12-20 07:53:15,0%
2023-12-20 07:53:30,0%
2023-12-20 07:53:45,0%
2023-12-20 07:54:00,0%
2023-12-20 07:54:15,0%
2023-12-20 07:54:30,0%
2023-12-20 07:54:45,0%
2023-12-20 07:55:00,0%
2023-12-20 07:55:15,0%
2023-12-20 07:55:30,0%
2023-12-20 07:55:45,0%
2023-12-20 07:56:00,0.100%
2023-12-20 07:56:15,0%
2023-12-20 07:56:30,0%
2023-12-20 07:56:45,0%
2023-12-20 07:57:00,0%
2023-12-20 07:57:15,0%
2023-12-20 07:57:30,0%
2023-12-20 07:57:45,0%
2023-12-20 07:58:00,0%
2023-12-20 07:58:15,0%
2023-12-20 07:58:30,0%
2023-12-20 07:58:45,0%
2023-12-20 07:59:00,0%
2023-12-20 07:59:15,0%
2023-12-20 07:59:30,0%
2023-12-20 07:59:45,0%
2023-12-20 08:00:00,0%
2023-12-20 08:00:15,0%
2023-12-20 08:00:30,0%
2023-12-20 08:00:45,0%
2023-12-20 08:01:00,0%
2023-12-20 08:01:15,0%
2023-12-20 08:01:30,0%
2023-12-20 08:01:45,0%
2023-12-20 08:02:00,0%
2023-12-20 08:02:15,0%
2023-12-20 08:02:30,0%
2023-12-20 08:02:45,0%
2023-12-20 08:03:00,0%
2023-12-20 08:03:15,0%
2023-12-20 08:03:30,0%
2023-12-20 08:03:45,0%
2023-12-20 08:04:00,0%
2023-12-20 08:04:15,0%
2023-12-20 08:04:30,0.100%
2023-12-20 08:04:45,0%
2023-12-20 08:05:00,0%
2023-12-20 08:05:15,0%
2023-12-20 08:05:30,0%
2023-12-20 08:05:45,0%
2023-12-20 08:06:00,0%
2023-12-20 08:06:15,0%
2023-12-20 08:06:30,0%
2023-12-20 08:06:45,0%
2023-12-20 08:07:00,0%
2023-12-20 08:07:15,0%
2023-12-20 08:07:30,0%
2023-12-20 08:07:45,0%
2023-12-20 08:08:00,0%
2023-12-20 08:08:15,0%
2023-12-20 08:08:30,0%
