"Time","values"
2023-12-20 08:16:00,45.21 ms
2023-12-20 08:16:30,60.00 ms
2023-12-20 08:17:00,59.31 ms
2023-12-20 08:17:30,57.25 ms
2023-12-20 08:18:00,60.46 ms
2023-12-20 08:18:30,66.79 ms
2023-12-20 08:19:00,61.43 ms
2023-12-20 08:19:30,61.45 ms
2023-12-20 08:20:00,58.76 ms
2023-12-20 08:20:30,59.42 ms
2023-12-20 08:21:00,71.44 ms
2023-12-20 08:21:30,69.24 ms
2023-12-20 08:22:00,69.66 ms
2023-12-20 08:22:30,84.58 ms
2023-12-20 08:23:00,74.56 ms
2023-12-20 08:23:30,78.85 ms
2023-12-20 08:24:00,73.66 ms
2023-12-20 08:24:30,81.77 ms
2023-12-20 08:25:00,73.00 ms
2023-12-20 08:25:30,79.86 ms
2023-12-20 08:26:00,87.24 ms
2023-12-20 08:26:30,79.52 ms
2023-12-20 08:27:00,78.93 ms
2023-12-20 08:27:30,85.44 ms
2023-12-20 08:28:00,75.96 ms
2023-12-20 08:28:30,88.88 ms
2023-12-20 08:29:00,100.97 ms
2023-12-20 08:29:30,104.18 ms
2023-12-20 08:30:00,87.35 ms
2023-12-20 08:30:30,115.43 ms
2023-12-20 08:31:00,128.00 ms
2023-12-20 08:31:30,83.86 ms
2023-12-20 08:32:00,114.45 ms
2023-12-20 08:32:30,149.95 ms
2023-12-20 08:33:00,132.79 ms
2023-12-20 08:33:30,128.87 ms
2023-12-20 08:34:00,122.32 ms
2023-12-20 08:34:30,128.59 ms
2023-12-20 08:35:00,177.46 ms
2023-12-20 08:35:30,138.97 ms
2023-12-20 08:36:00,128.95 ms
2023-12-20 08:36:30,126.07 ms
2023-12-20 08:37:00,120.71 ms
2023-12-20 08:37:30,138.44 ms
2023-12-20 08:38:00,119.76 ms
2023-12-20 08:38:30,134.65 ms
2023-12-20 08:39:00,142.78 ms
2023-12-20 08:39:30,112.88 ms
2023-12-20 08:40:00,125.15 ms
2023-12-20 08:40:30,137.08 ms
2023-12-20 08:41:00,123.59 ms
2023-12-20 08:41:30,152.85 ms
2023-12-20 08:42:00,150.59 ms
2023-12-20 08:42:30,115.83 ms
2023-12-20 08:43:00,112.40 ms
2023-12-20 08:43:30,123.97 ms
2023-12-20 08:44:00,110.44 ms
2023-12-20 08:44:30,98.42 ms
2023-12-20 08:45:00,109.77 ms
2023-12-20 08:45:30,113.55 ms
2023-12-20 08:46:00,116.75 ms
2023-12-20 08:46:30,92.29 ms
2023-12-20 08:47:00,89.95 ms
2023-12-20 08:47:30,81.82 ms
2023-12-20 08:48:00,97.62 ms
2023-12-20 08:48:30,97.39 ms
2023-12-20 08:49:00,85.23 ms
2023-12-20 08:49:30,102.29 ms
