"Time","values"
2023-12-20 08:35:30,55.54 ms
2023-12-20 08:36:00,63.80 ms
2023-12-20 08:36:30,39.92 ms
2023-12-20 08:37:00,44.59 ms
2023-12-20 08:37:30,34.48 ms
2023-12-20 08:38:00,36.05 ms
2023-12-20 08:38:30,29.08 ms
2023-12-20 08:39:00,49.46 ms
2023-12-20 08:39:30,52.90 ms
2023-12-20 08:40:00,70.87 ms
2023-12-20 08:40:30,50.52 ms
2023-12-20 08:41:00,44.11 ms
2023-12-20 08:41:30,52.05 ms
2023-12-20 08:42:00,60.54 ms
2023-12-20 08:42:30,32.33 ms
2023-12-20 08:43:00,41.48 ms
2023-12-20 08:43:30,27.76 ms
2023-12-20 08:44:00,47.40 ms
2023-12-20 08:44:30,44.25 ms
2023-12-20 08:45:00,40.68 ms
2023-12-20 08:45:30,35.06 ms
2023-12-20 08:46:00,21.14 ms
2023-12-20 08:46:30,24.82 ms
2023-12-20 08:47:00,47.82 ms
2023-12-20 08:47:30,33.10 ms
2023-12-20 08:48:00,20.59 ms
2023-12-20 08:48:30,20.51 ms
2023-12-20 08:49:00,30.13 ms
2023-12-20 08:49:30,18.06 ms
2023-12-20 08:50:00,23.43 ms
2023-12-20 08:50:30,25.21 ms
2023-12-20 08:51:00,29.36 ms
2023-12-20 08:51:30,15.24 ms
2023-12-20 08:52:00,15.43 ms
2023-12-20 08:52:30,17.46 ms
2023-12-20 08:53:00,20.46 ms
2023-12-20 08:53:30,14.23 ms
2023-12-20 08:54:00,15.35 ms
2023-12-20 08:54:30,18.63 ms
2023-12-20 08:55:00,10.38 ms
2023-12-20 08:55:30,21.00 ms
2023-12-20 08:56:00,17.69 ms
2023-12-20 08:56:30,14.51 ms
2023-12-20 08:57:00,8.33 ms
2023-12-20 08:57:30,15.43 ms
2023-12-20 08:58:00,21.36 ms
2023-12-20 08:58:30,18.84 ms
2023-12-20 08:59:00,12.74 ms
2023-12-20 08:59:30,11.58 ms
2023-12-20 09:00:00,19.15 ms
2023-12-20 09:00:30,11.93 ms
2023-12-20 09:01:00,15.58 ms
2023-12-20 09:01:30,13.35 ms
2023-12-20 09:02:00,17.60 ms
2023-12-20 09:02:30,13.19 ms
2023-12-20 09:03:00,12.05 ms
2023-12-20 09:03:30,15.14 ms
2023-12-20 09:04:00,6.98 ms
2023-12-20 09:04:30,18.29 ms
2023-12-20 09:05:00,9.78 ms
2023-12-20 09:05:30,12.16 ms
2023-12-20 09:06:00,9.18 ms
2023-12-20 09:06:30,14.51 ms
2023-12-20 09:07:00,8.13 ms
2023-12-20 09:07:30,9.07 ms
2023-12-20 09:08:00,11.08 ms
2023-12-20 09:08:30,11.81 ms
2023-12-20 09:09:00,16.22 ms
2023-12-20 09:09:30,8.04 ms
2023-12-20 09:10:00,16.01 ms
2023-12-20 09:10:30,13.46 ms
2023-12-20 09:11:00,11.32 ms
2023-12-20 09:11:30,6.48 ms
2023-12-20 09:12:00,16.53 ms
2023-12-20 09:12:30,11.37 ms
2023-12-20 09:13:00,11.81 ms
2023-12-20 09:13:30,9.54 ms
2023-12-20 09:14:00,14.63 ms
2023-12-20 09:14:30,8.87 ms
2023-12-20 09:15:00,12.48 ms
2023-12-20 09:15:30,15.51 ms
2023-12-20 09:16:00,12.66 ms
2023-12-20 09:16:30,9.39 ms
2023-12-20 09:17:00,14.94 ms
2023-12-20 09:17:30,12.41 ms
2023-12-20 09:18:00,12.45 ms
2023-12-20 09:18:30,16.70 ms
2023-12-20 09:19:00,17.24 ms
2023-12-20 09:19:30,12.86 ms
2023-12-20 09:20:00,19.63 ms
2023-12-20 09:20:30,12.62 ms
2023-12-20 09:21:00,14.81 ms
2023-12-20 09:21:30,16.09 ms
2023-12-20 09:22:00,23.27 ms
2023-12-20 09:22:30,21.13 ms
2023-12-20 09:23:00,13.80 ms
2023-12-20 09:23:30,22.87 ms
2023-12-20 09:24:00,17.53 ms
2023-12-20 09:24:30,11.01 ms
2023-12-20 09:25:00,29.50 ms
2023-12-20 09:25:30,36.89 ms
2023-12-20 09:26:00,33.50 ms
2023-12-20 09:26:30,17.55 ms
2023-12-20 09:27:00,35.65 ms
2023-12-20 09:27:30,37.72 ms
2023-12-20 09:28:00,25.02 ms
2023-12-20 09:28:30,37.27 ms
2023-12-20 09:29:00,52.09 ms
2023-12-20 09:29:30,22.75 ms
2023-12-20 09:30:00,22.84 ms
2023-12-20 09:30:30,36.89 ms
2023-12-20 09:31:00,27.32 ms
2023-12-20 09:31:30,27.05 ms
2023-12-20 09:32:00,49.57 ms
2023-12-20 09:32:30,59.13 ms
2023-12-20 09:33:00,42.66 ms
2023-12-20 09:33:30,48.00 ms
2023-12-20 09:34:00,52.00 ms
2023-12-20 09:34:30,33.51 ms
2023-12-20 09:35:00,41.10 ms
