index,delay,jitter,loss,ssim
268,10ms,140ms,1.5%,0.772
269,10ms,140ms,2.0%,0.811
270,10ms,140ms,2.5%,0.784
271,10ms,140ms,3.0%,0.761
272,10ms,150ms,0.0%,0.743
273,10ms,150ms,0.5%,0.883
274,10ms,150ms,1.0%,0.809
275,10ms,150ms,1.5%,0.757
276,10ms,150ms,2.0%,0.753
277,10ms,150ms,2.5%,0.799
278,10ms,150ms,3.0%,0.702
279,10ms,160ms,0.0%,0.874
280,10ms,160ms,0.5%,0.822
281,10ms,160ms,1.0%,0.763
282,10ms,160ms,1.5%,0.73
283,10ms,160ms,2.0%,0.694
284,10ms,160ms,2.5%,0.753
285,10ms,160ms,3.0%,0.762
286,10ms,170ms,0.0%,0.749
287,10ms,170ms,0.5%,0.677
288,10ms,170ms,1.0%,0.707
289,10ms,170ms,1.5%,0.759
290,10ms,170ms,2.0%,0.817
291,10ms,170ms,2.5%,0.857
292,10ms,170ms,3.0%,0.812
293,10ms,180ms,0.0%,0.85
294,10ms,180ms,0.5%,0.66
295,10ms,180ms,1.0%,0.794
296,10ms,180ms,1.5%,0.786
297,10ms,180ms,2.0%,0.718
298,10ms,180ms,2.5%,0.85
299,10ms,180ms,3.0%,0.718
300,10ms,190ms,0.0%,0.775
301,10ms,190ms,0.5%,0.666
302,10ms,190ms,1.0%,0.67
303,10ms,190ms,1.5%,0.783
304,10ms,190ms,2.0%,0.735
305,10ms,190ms,2.5%,0.753
306,10ms,190ms,3.0%,0.76
307,10ms,200ms,0.0%,0.735
308,10ms,200ms,0.5%,0.916
309,10ms,200ms,1.0%,0.638
310,10ms,200ms,1.5%,0.721
311,10ms,200ms,2.0%,0.681
312,10ms,200ms,2.5%,0.913
313,10ms,200ms,3.0%,0.677
314,20ms,0ms,0.0%,0.997
315,20ms,0ms,0.5%,0.996
316,20ms,0ms,1.0%,0.795
317,20ms,0ms,1.5%,0.981
318,20ms,0ms,2.0%,0.974
319,20ms,0ms,2.5%,0.967
320,20ms,0ms,3.0%,0.745
321,20ms,10ms,0.0%,0.937
322,20ms,10ms,0.5%,0.937
323,20ms,10ms,1.0%,0.944
324,20ms,10ms,1.5%,0.937
325,20ms,10ms,2.0%,0.961
326,20ms,10ms,2.5%,0.715
327,20ms,10ms,3.0%,0.93
328,20ms,20ms,0.0%,0.937
329,20ms,20ms,0.5%,0.945
330,20ms,20ms,1.0%,0.98
331,20ms,20ms,1.5%,0.904
332,20ms,20ms,2.0%,0.947
333,20ms,20ms,2.5%,0.929
334,20ms,20ms,3.0%,0.851
335,20ms,30ms,0.0%,0.937
336,20ms,30ms,0.5%,0.936
337,20ms,30ms,1.0%,0.932
338,20ms,30ms,1.5%,0.964
339,20ms,30ms,2.0%,0.923
340,20ms,30ms,2.5%,0.804
341,20ms,30ms,3.0%,0.863
342,20ms,40ms,0.0%,0.948
343,20ms,40ms,0.5%,0.998
344,20ms,40ms,1.0%,0.951
345,20ms,40ms,1.5%,0.881
346,20ms,40ms,2.0%,0.898
347,20ms,40ms,2.5%,0.782
348,20ms,40ms,3.0%,0.935
349,20ms,50ms,0.0%,0.937
350,20ms,50ms,0.5%,0.998
351,20ms,50ms,1.0%,0.864
352,20ms,50ms,1.5%,0.936
353,20ms,50ms,2.0%,0.936
354,20ms,50ms,2.5%,0.961
355,20ms,50ms,3.0%,0.99
356,20ms,60ms,0.0%,0.944
357,20ms,60ms,0.5%,0.944
358,20ms,60ms,1.0%,0.879
359,20ms,60ms,1.5%,0.918
360,20ms,60ms,2.0%,0.755
361,20ms,60ms,2.5%,0.937
362,20ms,60ms,3.0%,0.856
363,20ms,70ms,0.0%,0.937
364,20ms,70ms,0.5%,0.943
365,20ms,70ms,1.0%,0.945
366,20ms,70ms,1.5%,0.884
367,20ms,70ms,2.0%,0.943
368,20ms,70ms,2.5%,0.933
369,20ms,70ms,3.0%,0.882
370,20ms,80ms,0.0%,0.937
371,20ms,80ms,0.5%,0.908
372,20ms,80ms,1.0%,0.99
373,20ms,80ms,1.5%,0.933
374,20ms,80ms,2.0%,0.935
375,20ms,80ms,2.5%,0.893
376,20ms,80ms,3.0%,0.935
377,20ms,90ms,0.0%,0.945
378,20ms,90ms,0.5%,0.973
379,20ms,90ms,1.0%,0.995
380,20ms,90ms,1.5%,0.991
381,20ms,90ms,2.0%,0.938
382,20ms,90ms,2.5%,0.981
383,20ms,90ms,3.0%,0.841
384,20ms,100ms,0.0%,0.907
385,20ms,100ms,0.5%,0.888
386,20ms,100ms,1.0%,0.859
387,20ms,100ms,1.5%,0.891
388,20ms,100ms,2.0%,0.817
389,20ms,100ms,2.5%,0.793
390,20ms,100ms,3.0%,0.734
391,20ms,110ms,0.0%,0.882
392,20ms,110ms,0.5%,0.832
393,20ms,110ms,1.0%,0.923
394,20ms,110ms,1.5%,0.918
395,20ms,110ms,2.0%,0.877
396,20ms,110ms,2.5%,0.768
397,20ms,110ms,3.0%,0.866
