index,delay,jitter,loss,ssim
1444,90ms,180ms,0.5%,0.641
1445,90ms,180ms,1.0%,0.685
1446,90ms,180ms,1.5%,0.727
1447,90ms,180ms,2.0%,0.676
1448,90ms,180ms,2.5%,0.68
1449,90ms,180ms,3.0%,0.678
1450,90ms,190ms,0.0%,0.681
1451,90ms,190ms,0.5%,0.707
1452,90ms,190ms,1.0%,0.691
1453,90ms,190ms,1.5%,0.762
1454,90ms,190ms,2.0%,0.668
1455,90ms,190ms,2.5%,0.676
1456,90ms,190ms,3.0%,0.723
1457,90ms,200ms,0.0%,0.763
1458,90ms,200ms,0.5%,0.656
1459,90ms,200ms,1.0%,0.672
1460,90ms,200ms,1.5%,0.661
1461,90ms,200ms,2.0%,0.7
1462,90ms,200ms,2.5%,0.682
1463,90ms,200ms,3.0%,0.687
1464,100ms,0ms,0.0%,0.937
1465,100ms,0ms,0.5%,0.936
1466,100ms,0ms,1.0%,0.997
1467,100ms,0ms,1.5%,0.935
1468,100ms,0ms,2.0%,0.924
1469,100ms,0ms,2.5%,0.993
1470,100ms,0ms,3.0%,0.925
1471,100ms,10ms,0.0%,0.945
1472,100ms,10ms,0.5%,0.937
1473,100ms,10ms,1.0%,0.95
1474,100ms,10ms,1.5%,0.933
1475,100ms,10ms,2.0%,0.856
1476,100ms,10ms,2.5%,0.733
1477,100ms,10ms,3.0%,0.865
1478,100ms,20ms,0.0%,0.937
1479,100ms,20ms,0.5%,0.936
1480,100ms,20ms,1.0%,0.936
1481,100ms,20ms,1.5%,0.814
1482,100ms,20ms,2.0%,0.785
1483,100ms,20ms,2.5%,0.736
1484,100ms,20ms,3.0%,0.8
1485,100ms,30ms,0.0%,0.937
1486,100ms,30ms,0.5%,0.99
1487,100ms,30ms,1.0%,0.936
1488,100ms,30ms,1.5%,0.913
1489,100ms,30ms,2.0%,0.922
1490,100ms,30ms,2.5%,0.936
1491,100ms,30ms,3.0%,0.932
1492,100ms,40ms,0.0%,0.937
1493,100ms,40ms,0.5%,0.945
1494,100ms,40ms,1.0%,0.936
1495,100ms,40ms,1.5%,0.924
1496,100ms,40ms,2.0%,0.89
1497,100ms,40ms,2.5%,0.891
1498,100ms,40ms,3.0%,0.933
1499,100ms,50ms,0.0%,0.947
1500,100ms,50ms,0.5%,0.945
1501,100ms,50ms,1.0%,0.936
1502,100ms,50ms,1.5%,0.937
1503,100ms,50ms,2.0%,0.939
1504,100ms,50ms,2.5%,0.815
1505,100ms,50ms,3.0%,0.869
1506,100ms,60ms,0.0%,0.971
1507,100ms,60ms,0.5%,0.94
1508,100ms,60ms,1.0%,0.997
1509,100ms,60ms,1.5%,0.923
1510,100ms,60ms,2.0%,0.895
1511,100ms,60ms,2.5%,0.921
1512,100ms,60ms,3.0%,0.945
1513,100ms,70ms,0.0%,0.947
1514,100ms,70ms,0.5%,0.906
1515,100ms,70ms,1.0%,0.95
1516,100ms,70ms,1.5%,0.944
1517,100ms,70ms,2.0%,0.929
1518,100ms,70ms,2.5%,0.824
1519,100ms,0ms,0.0%,0.997
1520,100ms,0ms,0.5%,0.936
1521,100ms,0ms,1.0%,0.926
1522,100ms,0ms,1.5%,0.998
1523,100ms,0ms,2.0%,0.936
1524,100ms,0ms,2.5%,0.868
1525,100ms,0ms,3.0%,0.783
1526,100ms,10ms,0.0%,0.945
1527,100ms,10ms,0.5%,0.881
1528,100ms,10ms,1.0%,0.949
1529,100ms,10ms,1.5%,0.936
1530,100ms,10ms,2.0%,0.946
1531,100ms,10ms,2.5%,0.943
1532,100ms,10ms,3.0%,0.882
1533,100ms,20ms,0.0%,0.937
1534,100ms,20ms,0.5%,0.936
1535,100ms,20ms,1.0%,0.88
1536,100ms,20ms,1.5%,0.934
1537,100ms,20ms,2.0%,0.879
1538,100ms,20ms,2.5%,0.863
1539,100ms,20ms,3.0%,0.889
1540,100ms,30ms,0.0%,0.943
1541,100ms,30ms,0.5%,0.937
1542,100ms,30ms,1.0%,0.936
1543,100ms,30ms,1.5%,0.936
1544,100ms,30ms,2.0%,0.936
1545,100ms,30ms,2.5%,0.782
1546,100ms,30ms,3.0%,0.926
1547,100ms,40ms,0.0%,0.937
1548,100ms,40ms,0.5%,0.936
1549,100ms,40ms,1.0%,0.934
1550,100ms,40ms,1.5%,0.933
1551,100ms,40ms,2.0%,0.856
1552,100ms,40ms,2.5%,0.914
1553,100ms,40ms,3.0%,0.857
1554,100ms,50ms,0.0%,0.937
1555,100ms,50ms,0.5%,0.997
1556,100ms,50ms,1.0%,0.945
1557,100ms,50ms,1.5%,0.936
1558,100ms,50ms,2.0%,0.935
1559,100ms,50ms,2.5%,0.792
1560,100ms,50ms,3.0%,0.937
1561,100ms,60ms,0.0%,0.772
1562,100ms,60ms,0.5%,0.889
1563,100ms,60ms,1.0%,0.88
1564,100ms,60ms,1.5%,0.943
1565,100ms,60ms,2.0%,0.867
1566,100ms,60ms,2.5%,0.884
1567,100ms,60ms,3.0%,0.936
1568,100ms,70ms,0.0%,0.944
1569,100ms,70ms,0.5%,0.937
1570,100ms,70ms,1.0%,0.935
1571,100ms,70ms,1.5%,0.927
1572,100ms,70ms,2.0%,0.891
1573,100ms,70ms,2.5%,0.955
1574,100ms,70ms,3.0%,0.919
1575,100ms,80ms,0.0%,0.878
1576,100ms,80ms,0.5%,0.88
1577,100ms,80ms,1.0%,0.767
1578,100ms,80ms,1.5%,0.739
1579,100ms,80ms,2.0%,0.731
1580,100ms,80ms,2.5%,0.817
1581,100ms,80ms,3.0%,0.86
1582,100ms,90ms,0.0%,0.803
1583,100ms,90ms,0.5%,0.726
1584,100ms,90ms,1.0%,0.729
1585,100ms,90ms,1.5%,0.826
1586,100ms,90ms,2.0%,0.848
1587,100ms,90ms,2.5%,0.854
1588,100ms,90ms,3.0%,0.897
1589,100ms,100ms,0.0%,0.942
1590,100ms,100ms,0.5%,0.709
1591,100ms,100ms,1.0%,0.778
1592,100ms,100ms,1.5%,0.818
1593,100ms,100ms,2.0%,0.847
1594,100ms,100ms,2.5%,0.698
1595,100ms,100ms,3.0%,0.795
1596,100ms,110ms,0.0%,0.753
1597,100ms,110ms,0.5%,0.707
1598,100ms,110ms,1.0%,0.745
1599,100ms,110ms,1.5%,0.718
1600,100ms,110ms,2.0%,0.719
1601,100ms,110ms,2.5%,0.746
1602,100ms,110ms,3.0%,0.825
1603,100ms,120ms,0.0%,0.898
1604,100ms,120ms,0.5%,0.815
1605,100ms,120ms,1.0%,0.659
1606,100ms,120ms,1.5%,0.71
1607,100ms,120ms,2.0%,0.679
1608,100ms,120ms,2.5%,0.71
1609,100ms,120ms,3.0%,0.754
1610,100ms,130ms,0.0%,0.676
1611,100ms,130ms,0.5%,0.864
1612,100ms,130ms,1.0%,0.841
1613,100ms,130ms,1.5%,0.795
1614,100ms,130ms,2.0%,0.839
1615,100ms,130ms,2.5%,0.803
1616,100ms,130ms,3.0%,0.696
1617,100ms,140ms,0.0%,0.935
1618,100ms,140ms,0.5%,0.856
1619,100ms,140ms,1.0%,0.791
1620,100ms,140ms,1.5%,0.762
1621,100ms,140ms,2.0%,0.687
1622,100ms,140ms,2.5%,0.765
1623,100ms,140ms,3.0%,0.74
1624,100ms,150ms,0.0%,0.927
1625,100ms,150ms,0.5%,0.757
1626,100ms,150ms,1.0%,0.707
1627,100ms,150ms,2.0%,0.791
1628,100ms,150ms,2.5%,0.609
1629,100ms,150ms,3.0%,0.709
1630,100ms,160ms,0.0%,0.925
1631,100ms,160ms,0.5%,0.695
1632,100ms,160ms,1.0%,0.789
1633,100ms,160ms,1.5%,0.715
1634,100ms,160ms,2.0%,0.684
1635,100ms,160ms,2.5%,0.66
1636,100ms,160ms,3.0%,0.697
1637,100ms,170ms,0.0%,0.807
1638,100ms,170ms,0.5%,0.68
1639,100ms,170ms,1.0%,0.741
1640,100ms,170ms,1.5%,0.683
1641,100ms,170ms,2.0%,0.659
1642,100ms,170ms,2.5%,0.668
1643,100ms,170ms,3.0%,0.726
1644,100ms,180ms,0.0%,0.647
1645,100ms,180ms,0.5%,0.736
1646,100ms,180ms,1.0%,0.712
1647,100ms,180ms,1.5%,0.518
1648,100ms,180ms,2.0%,0.697
1649,100ms,180ms,2.5%,0.672
1650,100ms,180ms,3.0%,0.693
1651,100ms,190ms,0.0%,0.678
1652,100ms,190ms,0.5%,0.686
1653,100ms,190ms,1.0%,0.533
1654,100ms,190ms,1.5%,0.712
1655,100ms,190ms,2.0%,0.834
1656,100ms,190ms,2.5%,0.639
1657,100ms,190ms,3.0%,0.654
1658,100ms,200ms,0.0%,0.665
1659,100ms,200ms,0.5%,0.678
1660,100ms,200ms,1.0%,0.727
1661,100ms,200ms,1.5%,0.753
1662,100ms,200ms,2.0%,0.679
1663,100ms,200ms,2.5%,0.687
1664,100ms,200ms,3.0%,0.718
1665,110ms,0ms,0.0%,0.997
1666,110ms,0ms,0.5%,0.937
1667,110ms,0ms,1.0%,0.936
1668,110ms,0ms,1.5%,0.905
1669,110ms,0ms,2.0%,0.994
1670,110ms,0ms,2.5%,0.926
1671,110ms,0ms,3.0%,0.925
1672,110ms,10ms,0.0%,0.974
1673,110ms,10ms,0.5%,0.937
1674,110ms,10ms,1.0%,0.91
1675,110ms,10ms,1.5%,0.841
1676,110ms,10ms,2.0%,0.921
1677,110ms,10ms,2.5%,0.869
1678,110ms,10ms,3.0%,0.816
1679,110ms,20ms,0.0%,0.952
1680,110ms,20ms,0.5%,0.941
1681,110ms,20ms,1.0%,0.748
1682,110ms,20ms,1.5%,0.752
1683,110ms,20ms,2.0%,0.896
1684,110ms,20ms,2.5%,0.894
1685,110ms,20ms,3.0%,0.843
1686,110ms,30ms,0.0%,0.946
1687,110ms,30ms,0.5%,0.95
1688,110ms,30ms,1.0%,0.937
1689,110ms,30ms,1.5%,0.937
1690,110ms,30ms,2.0%,0.935
1691,110ms,30ms,2.5%,0.914
1692,110ms,30ms,3.0%,0.864
1693,110ms,40ms,0.0%,0.946
1694,110ms,40ms,0.5%,0.946
1695,110ms,40ms,1.0%,0.916
1696,110ms,40ms,1.5%,0.86
1697,110ms,40ms,2.0%,0.903
1698,110ms,40ms,2.5%,0.935
1699,110ms,40ms,3.0%,0.889
1700,110ms,50ms,0.0%,0.937
1701,110ms,50ms,0.5%,0.942
1702,110ms,50ms,1.0%,0.972
1703,110ms,50ms,1.5%,0.861
1704,110ms,50ms,2.0%,0.864
1705,110ms,50ms,2.5%,0.931
1706,110ms,50ms,3.0%,0.933
1707,110ms,60ms,0.0%,0.923
1708,110ms,60ms,0.5%,0.946
1709,110ms,60ms,1.0%,0.903
1710,110ms,60ms,1.5%,0.933
1711,110ms,60ms,2.0%,0.944
1712,110ms,60ms,2.5%,0.923
1713,110ms,60ms,3.0%,0.87
1714,110ms,70ms,0.0%,0.945
1715,110ms,70ms,0.5%,0.919
1716,110ms,70ms,1.0%,0.87
1717,110ms,70ms,1.5%,0.85
1718,110ms,70ms,2.0%,0.932
1719,110ms,70ms,2.5%,0.794
1720,110ms,70ms,3.0%,0.889
1721,110ms,80ms,0.0%,0.828
1722,110ms,80ms,0.5%,0.855
1723,110ms,80ms,1.0%,0.767
1724,110ms,80ms,1.5%,0.851
1725,110ms,80ms,2.0%,0.714
1726,110ms,80ms,2.5%,0.734
1727,110ms,80ms,3.0%,0.693
1728,110ms,90ms,0.0%,0.935
1729,110ms,90ms,0.5%,0.861
1730,110ms,90ms,1.0%,0.924
1731,110ms,90ms,1.5%,0.903
1732,110ms,90ms,2.0%,0.888
1733,110ms,90ms,2.5%,0.811
1734,110ms,90ms,3.0%,0.928
1735,110ms,100ms,0.0%,0.863
1736,110ms,100ms,0.5%,0.778
1737,110ms,100ms,1.0%,0.675
1738,110ms,100ms,1.5%,0.921
1739,110ms,100ms,2.0%,0.9
1740,110ms,100ms,2.5%,0.716
1741,110ms,100ms,3.0%,0.857
1742,110ms,110ms,0.0%,0.803
1743,110ms,110ms,0.5%,0.693
1744,110ms,110ms,1.0%,0.859
1745,110ms,110ms,1.5%,0.898
1746,110ms,110ms,2.0%,0.862
1747,110ms,110ms,2.5%,0.659
1748,110ms,110ms,3.0%,0.697
1749,110ms,120ms,0.0%,0.751
1750,110ms,120ms,0.5%,0.864
1751,110ms,120ms,1.0%,0.767
1752,110ms,120ms,1.5%,0.824
1753,110ms,120ms,2.0%,0.856
1754,110ms,120ms,2.5%,0.686
1755,110ms,120ms,3.0%,0.68
1756,110ms,130ms,0.0%,0.692
1757,110ms,130ms,0.5%,0.687
1758,110ms,130ms,1.0%,0.723
1759,110ms,130ms,1.5%,0.926
1760,110ms,130ms,2.0%,0.688
1761,110ms,130ms,2.5%,0.771
1762,110ms,130ms,3.0%,0.775
1763,110ms,140ms,0.0%,0.669
1764,110ms,140ms,0.5%,0.651
1765,110ms,140ms,1.0%,0.721
1766,110ms,140ms,1.5%,0.678
1767,110ms,140ms,2.0%,0.768
1768,110ms,140ms,2.5%,0.678
1769,110ms,140ms,3.0%,0.727
1770,110ms,150ms,0.0%,0.789
1771,110ms,150ms,0.5%,0.736
1772,110ms,150ms,1.0%,0.799
1773,110ms,150ms,1.5%,0.735
1774,110ms,150ms,2.0%,0.68
1775,110ms,150ms,2.5%,0.778
1776,110ms,150ms,3.0%,0.759
1777,110ms,160ms,0.0%,0.758
1778,110ms,160ms,0.5%,0.729
1779,110ms,160ms,1.0%,0.735
1780,110ms,160ms,1.5%,0.683
1781,110ms,160ms,2.0%,0.734
1782,110ms,160ms,2.5%,0.719
1783,110ms,160ms,3.0%,0.674
1784,110ms,170ms,0.0%,0.666
1785,110ms,170ms,0.5%,0.696
1786,110ms,170ms,1.0%,0.68
1787,110ms,170ms,1.5%,0.724
1788,110ms,170ms,2.0%,0.75
1789,110ms,170ms,2.5%,0.664
1790,110ms,170ms,3.0%,0.658
1791,110ms,180ms,0.0%,0.704
1792,110ms,180ms,0.5%,0.666
1793,110ms,180ms,1.0%,0.739
1794,110ms,180ms,1.5%,0.886
1795,110ms,180ms,2.0%,0.682
1796,110ms,180ms,2.5%,0.679
1797,110ms,180ms,3.0%,0.678
1798,110ms,190ms,0.0%,0.791
1799,110ms,190ms,0.5%,0.674
1800,110ms,190ms,1.0%,0.68
1801,110ms,190ms,1.5%,0.662
1802,110ms,190ms,2.0%,0.781
1803,110ms,190ms,2.5%,0.637
1804,110ms,190ms,3.0%,0.683
1805,110ms,200ms,0.0%,0.676
1806,110ms,200ms,0.5%,0.685
1807,110ms,200ms,1.0%,0.779
1808,110ms,200ms,1.5%,0.705
1809,110ms,200ms,2.0%,0.632
1810,110ms,200ms,2.5%,0.712
1811,110ms,200ms,3.0%,0.684
1812,120ms,0ms,0.0%,0.997
1813,120ms,0ms,0.5%,0.935
1814,120ms,0ms,1.0%,0.998
1815,120ms,0ms,1.5%,0.841
1816,120ms,0ms,2.0%,0.933
1817,120ms,0ms,2.5%,0.861
1818,120ms,0ms,3.0%,0.962
1819,120ms,10ms,0.0%,0.944
1820,120ms,10ms,0.5%,0.936
1821,120ms,10ms,1.0%,0.939
1822,120ms,10ms,1.5%,0.935
1823,120ms,10ms,2.0%,0.884
1824,120ms,10ms,2.5%,0.828
1825,120ms,10ms,3.0%,0.939
1826,120ms,20ms,0.0%,0.944
1827,120ms,20ms,0.5%,0.998
1828,120ms,20ms,1.0%,0.935
1829,120ms,20ms,1.5%,0.995
1830,120ms,20ms,2.0%,0.927
1831,120ms,20ms,2.5%,0.936
1832,120ms,20ms,3.0%,0.888
1833,120ms,30ms,0.0%,0.937
1834,120ms,30ms,0.5%,0.936
1835,120ms,30ms,1.0%,0.945
1836,120ms,30ms,1.5%,0.935
1837,120ms,30ms,2.0%,0.927
1838,120ms,30ms,2.5%,0.888
1839,120ms,30ms,3.0%,0.816
1840,120ms,40ms,0.0%,0.937
1841,120ms,40ms,0.5%,0.937
1842,120ms,40ms,1.0%,0.922
1843,120ms,40ms,1.5%,0.891
1844,120ms,40ms,2.0%,0.949
1845,120ms,40ms,2.5%,0.903
1846,120ms,40ms,3.0%,0.857
1847,120ms,50ms,0.0%,0.944
1848,120ms,50ms,0.5%,0.949
1849,120ms,50ms,1.0%,0.875
1850,120ms,50ms,1.5%,0.946
1851,120ms,50ms,2.0%,0.712
1852,120ms,50ms,2.5%,0.938
1853,120ms,50ms,3.0%,0.888
1854,120ms,60ms,0.0%,0.882
1855,120ms,60ms,0.5%,0.937
1856,120ms,60ms,1.0%,0.839
1857,120ms,60ms,1.5%,0.934
1858,120ms,60ms,2.0%,0.942
1859,120ms,60ms,2.5%,0.695
1860,120ms,60ms,3.0%,0.944
1861,120ms,70ms,0.0%,0.861
1862,120ms,70ms,0.5%,0.829
1863,120ms,70ms,1.0%,0.939
1864,120ms,70ms,1.5%,0.945
1865,120ms,70ms,2.0%,0.859
1866,120ms,70ms,2.5%,0.938
1867,120ms,70ms,3.0%,0.735
1868,120ms,80ms,0.0%,0.944
1869,120ms,80ms,0.5%,0.868
1870,120ms,80ms,1.0%,0.871
1871,120ms,80ms,1.5%,0.869
1872,120ms,80ms,2.0%,0.9
1873,120ms,80ms,2.5%,0.698
1874,120ms,80ms,3.0%,0.936
1875,120ms,90ms,0.0%,0.932
1876,120ms,90ms,0.5%,0.657
1877,120ms,90ms,1.0%,0.865
1878,120ms,90ms,1.5%,0.929
1879,120ms,90ms,2.0%,0.915
1880,120ms,90ms,2.5%,0.757
1881,120ms,90ms,3.0%,0.717
1882,120ms,100ms,0.0%,0.939
1883,120ms,100ms,0.5%,0.939
1884,120ms,100ms,1.0%,0.935
1885,120ms,100ms,1.5%,0.76
1886,120ms,100ms,2.0%,0.892
1887,120ms,100ms,2.5%,0.715
1888,120ms,100ms,3.0%,0.849
1889,120ms,110ms,0.0%,0.728
1890,120ms,110ms,0.5%,0.704
1891,120ms,110ms,1.0%,0.685
1892,120ms,110ms,1.5%,0.812
1893,120ms,110ms,2.0%,0.937
1894,120ms,110ms,2.5%,0.722
1895,120ms,110ms,3.0%,0.688
1896,120ms,120ms,0.0%,0.924
1897,120ms,120ms,0.5%,0.751
1898,120ms,120ms,1.0%,0.758
1899,120ms,120ms,1.5%,0.754
1900,120ms,120ms,2.0%,0.909
1901,120ms,120ms,2.5%,0.714
1902,120ms,120ms,3.0%,0.787
1903,120ms,130ms,0.0%,0.677
1904,120ms,130ms,0.5%,0.921
1905,120ms,130ms,1.0%,0.713
1906,120ms,130ms,1.5%,0.701
1907,120ms,130ms,2.0%,0.794
1908,120ms,130ms,2.5%,0.677
1909,120ms,130ms,3.0%,0.815
1910,120ms,140ms,0.0%,0.688
1911,120ms,140ms,0.5%,0.796
1912,120ms,140ms,1.0%,0.716
1913,120ms,140ms,1.5%,0.715
1914,120ms,140ms,2.0%,0.745
1915,120ms,140ms,2.5%,0.728
1916,120ms,140ms,3.0%,0.682
1917,120ms,150ms,0.0%,0.683
1918,120ms,150ms,0.5%,0.67
1919,120ms,150ms,1.0%,0.69
1920,120ms,150ms,1.5%,0.719
1921,120ms,150ms,2.0%,0.741
1922,120ms,150ms,2.5%,0.678
1923,120ms,150ms,3.0%,0.683
1924,120ms,160ms,0.0%,0.68
1925,120ms,160ms,0.5%,0.772
1926,120ms,160ms,1.0%,0.75
1927,120ms,160ms,1.5%,0.662
1928,120ms,160ms,2.0%,0.882
1929,120ms,160ms,2.5%,0.666
1930,120ms,160ms,3.0%,0.696
1931,120ms,170ms,0.0%,0.77
1932,120ms,170ms,0.5%,0.887
1933,120ms,170ms,1.0%,0.701
1934,120ms,170ms,1.5%,0.685
1935,120ms,170ms,2.0%,0.676
1936,120ms,170ms,2.5%,0.701
1937,120ms,170ms,3.0%,0.724
1938,120ms,180ms,0.0%,0.68
1939,120ms,180ms,0.5%,0.766
1940,120ms,180ms,1.0%,0.874
1941,120ms,180ms,1.5%,0.708
1942,120ms,180ms,2.0%,0.837
1943,120ms,180ms,2.5%,0.686
1944,120ms,180ms,3.0%,0.731
1945,120ms,190ms,0.0%,0.708
1946,120ms,190ms,0.5%,0.685
1947,120ms,190ms,1.0%,0.663
1948,120ms,190ms,1.5%,0.69
1949,120ms,190ms,2.0%,0.708
1950,120ms,190ms,2.5%,0.692
1951,120ms,190ms,3.0%,0.677
1952,120ms,200ms,0.0%,0.681
1953,120ms,200ms,0.5%,0.746
1954,120ms,200ms,1.0%,0.673
1955,120ms,200ms,1.5%,0.659
1956,120ms,200ms,2.5%,0.685
1957,120ms,200ms,3.0%,0.69
1958,130ms,0ms,0.0%,0.997
1959,130ms,0ms,0.5%,0.997
1960,130ms,0ms,1.0%,0.973
1961,130ms,0ms,1.5%,0.995
1962,130ms,0ms,2.0%,0.892
1963,130ms,0ms,2.5%,0.993
1964,130ms,0ms,3.0%,0.669
1965,130ms,10ms,0.0%,0.949
1966,130ms,10ms,0.5%,0.999
1967,130ms,10ms,1.0%,0.949
1968,130ms,10ms,1.5%,0.916
1969,130ms,10ms,2.0%,0.945
1970,130ms,10ms,2.5%,0.861
1971,130ms,10ms,3.0%,0.93
1972,130ms,20ms,0.0%,0.937
1973,130ms,20ms,0.5%,0.726
1974,130ms,20ms,1.0%,0.936
1975,130ms,20ms,1.5%,0.934
1976,130ms,20ms,2.0%,0.934
1977,130ms,20ms,2.5%,0.934
1978,130ms,20ms,3.0%,0.723
1979,130ms,30ms,0.0%,0.947
1980,130ms,30ms,0.5%,0.937
1981,130ms,30ms,1.0%,0.942
1982,130ms,30ms,1.5%,0.948
1983,130ms,30ms,2.0%,0.926
1984,130ms,30ms,2.5%,0.937
1985,130ms,30ms,3.0%,0.94
1986,130ms,40ms,0.0%,0.949
1987,130ms,40ms,0.5%,0.945
1988,130ms,40ms,1.0%,0.937
1989,130ms,40ms,1.5%,0.936
1990,130ms,40ms,2.0%,0.882
1991,130ms,40ms,2.5%,0.787
1992,130ms,40ms,3.0%,0.944
1993,130ms,50ms,0.0%,0.937
1994,130ms,50ms,0.5%,0.872
1995,130ms,50ms,1.0%,0.922
1996,130ms,50ms,1.5%,0.861
1997,130ms,50ms,2.0%,0.937
1998,130ms,50ms,2.5%,0.809
1999,130ms,50ms,3.0%,0.935
2000,130ms,60ms,0.0%,0.946
2001,130ms,60ms,0.5%,0.86
2002,130ms,60ms,1.0%,0.939
2003,130ms,60ms,1.5%,0.944
2004,130ms,60ms,2.0%,0.935
2005,130ms,60ms,2.5%,0.925
2006,130ms,60ms,3.0%,0.932
2007,130ms,70ms,0.0%,0.945
2008,130ms,70ms,0.5%,0.859
2009,130ms,70ms,1.0%,0.927
2010,130ms,70ms,1.5%,0.883
2011,130ms,70ms,2.0%,0.942
2012,130ms,70ms,2.5%,0.888
2013,130ms,70ms,3.0%,0.857
2014,130ms,80ms,0.0%,0.935
2015,130ms,80ms,0.5%,0.922
2016,130ms,80ms,1.0%,0.86
2017,130ms,80ms,1.5%,0.754
2018,130ms,80ms,2.0%,0.751
2019,130ms,80ms,2.5%,0.914
2020,130ms,80ms,3.0%,0.824
2021,130ms,90ms,0.0%,0.853
2022,130ms,90ms,0.5%,0.928
2023,130ms,90ms,1.0%,0.733
2024,130ms,90ms,1.5%,0.944
2025,130ms,90ms,2.0%,0.816
2026,130ms,90ms,2.5%,0.959
2027,130ms,90ms,3.0%,0.931
2028,130ms,100ms,0.0%,0.678
2029,130ms,100ms,0.5%,0.883
2030,130ms,100ms,1.0%,0.729
2031,130ms,100ms,1.5%,0.705
2032,130ms,100ms,2.0%,0.933
2033,130ms,100ms,2.5%,0.79
2034,130ms,100ms,3.0%,0.71
2035,130ms,110ms,0.0%,0.776
2036,130ms,110ms,0.5%,0.614
2037,130ms,110ms,1.0%,0.852
2038,130ms,110ms,1.5%,0.732
2039,130ms,110ms,2.0%,0.886
2040,130ms,110ms,2.5%,0.687
2041,130ms,110ms,3.0%,0.687
2042,130ms,120ms,0.0%,0.931
2043,130ms,120ms,0.5%,0.862
2044,130ms,120ms,1.0%,0.851
2045,130ms,120ms,1.5%,0.763
2046,130ms,120ms,2.0%,0.811
2047,130ms,120ms,2.5%,0.668
2048,130ms,120ms,3.0%,0.695
2049,130ms,130ms,0.0%,0.681
2050,130ms,130ms,0.5%,0.961
2051,130ms,130ms,1.0%,0.887
2052,130ms,130ms,1.5%,0.699
2053,130ms,130ms,2.0%,0.883
2054,130ms,130ms,2.5%,0.691
2055,130ms,130ms,3.0%,0.881
2056,130ms,140ms,0.0%,0.935
2057,130ms,140ms,0.5%,0.696
2058,130ms,140ms,1.0%,0.813
2059,130ms,140ms,1.5%,0.708
2060,130ms,140ms,2.0%,0.764
2061,130ms,140ms,2.5%,0.735
2062,130ms,140ms,3.0%,0.669
2063,130ms,150ms,0.0%,0.617
2064,130ms,150ms,0.5%,0.674
2065,130ms,150ms,1.0%,0.697
2066,130ms,150ms,1.5%,0.81
2067,130ms,150ms,2.0%,0.86
2068,130ms,150ms,2.5%,0.727
2069,130ms,150ms,3.0%,0.826
2070,130ms,160ms,0.0%,0.931
2071,130ms,160ms,0.5%,0.768
2072,130ms,160ms,1.0%,0.683
2073,130ms,160ms,2.0%,0.727
2074,130ms,160ms,2.5%,0.626
2075,130ms,160ms,3.0%,0.679
2076,130ms,170ms,0.0%,0.669
2077,130ms,170ms,0.5%,0.694
2078,130ms,170ms,1.0%,0.75
2079,130ms,170ms,1.5%,0.683
2080,130ms,170ms,2.0%,0.747
2081,130ms,170ms,2.5%,0.675
2082,130ms,170ms,3.0%,0.684
2083,130ms,180ms,0.0%,0.689
2084,130ms,180ms,0.5%,0.811
2085,130ms,180ms,1.0%,0.681
2086,130ms,180ms,1.5%,0.818
2087,130ms,180ms,2.0%,0.678
2088,130ms,180ms,2.5%,0.559
2089,130ms,180ms,3.0%,0.668
2090,130ms,190ms,0.0%,0.75
2091,130ms,190ms,0.5%,0.682
2092,130ms,190ms,1.0%,0.778
2093,130ms,190ms,1.5%,0.65
2094,130ms,190ms,2.0%,0.759
2095,130ms,190ms,2.5%,0.686
2096,130ms,190ms,3.0%,0.659
2097,130ms,200ms,0.0%,0.679
2098,130ms,200ms,0.5%,0.692
2099,130ms,200ms,1.0%,0.669
2100,130ms,200ms,1.5%,0.834
2101,130ms,200ms,2.0%,0.685
2102,130ms,200ms,2.5%,0.696
2103,130ms,200ms,3.0%,0.682
2104,140ms,0ms,0.0%,0.997
2105,140ms,0ms,0.5%,0.998
2106,140ms,0ms,1.0%,0.999
2107,140ms,0ms,1.5%,0.958
2108,140ms,0ms,2.0%,0.936
2109,140ms,0ms,2.5%,0.75
2110,140ms,0ms,3.0%,0.989
2111,140ms,10ms,0.0%,0.948
2112,140ms,10ms,0.5%,0.936
2113,140ms,10ms,1.0%,0.933
2114,140ms,10ms,1.5%,0.944
2115,140ms,10ms,2.0%,0.877
2116,140ms,10ms,2.5%,0.809
2117,140ms,10ms,3.0%,0.943
2118,140ms,20ms,0.0%,0.997
2119,140ms,20ms,0.5%,0.934
2120,140ms,20ms,1.0%,0.951
2121,140ms,20ms,1.5%,0.948
2122,140ms,20ms,2.0%,0.888
2123,140ms,20ms,2.5%,0.895
2124,140ms,20ms,3.0%,0.716
2125,140ms,30ms,0.0%,0.937
2126,140ms,30ms,0.5%,0.946
2127,140ms,30ms,1.0%,0.772
2128,140ms,30ms,1.5%,0.926
2129,140ms,30ms,2.0%,0.934
2130,140ms,30ms,2.5%,0.836
2131,140ms,30ms,3.0%,0.936
2132,140ms,40ms,0.0%,0.947
2133,140ms,40ms,0.5%,0.933
2134,140ms,40ms,1.0%,0.884
2135,140ms,40ms,1.5%,0.929
2136,140ms,40ms,2.0%,0.949
2137,140ms,40ms,2.5%,0.789
2138,140ms,40ms,3.0%,0.889
2139,140ms,50ms,0.0%,0.937
2140,140ms,50ms,0.5%,0.936
2141,140ms,50ms,1.0%,0.936
2142,140ms,50ms,1.5%,0.944
